Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2018-02-23,74.1666526804409,74.32098921483373,73.21171929119109,74.041259765625,1006000,0.0,0.0,AME
2018-02-26,74.45603406655152,75.83538564149374,74.22452925232707,75.62317657470703,1271600,0.0,0.0,AME
2018-02-27,75.57494816561717,76.29838418639686,74.91903254574338,74.92868041992188,1054100,0.0,0.0,AME
2018-02-28,75.12157608541797,75.25661685547816,73.02843679031497,73.057373046875,1494100,0.0,0.0,AME
2018-03-01,73.06702741388108,73.1924203231777,71.11857658754602,71.5526351928711,985400,0.0,0.0,AME
2018-03-02,70.95458768743569,72.05420961975022,70.5976973685434,71.88058471679688,997200,0.0,0.0,AME
2018-03-05,71.35009085227884,72.81625141450947,71.00284094242929,72.5365219116211,935100,0.0,0.0,AME
2018-03-06,72.85480968652591,73.43355687771852,72.13137385774272,73.41426849365234,1074000,0.0,0.0,AME
2018-03-07,72.6136822439233,73.96409759447637,71.65874877596882,73.80976104736328,1322200,0.0,0.0,AME
2018-03-08,74.03161771706394,74.54284464891302,73.64578370989639,74.51390838623047,849000,0.0,0.0,AME
2018-03-09,75.04443326785359,76.01865514955101,74.822576315492,75.9993667602539,778900,0.0,0.0,AME
2018-03-12,76.01865005831527,76.07652994067377,75.34344609056043,75.57494354248047,969000,0.0,0.0,AME
2018-03-13,75.73892263311771,76.5105906391516,75.36273650394835,75.6038818359375,807500,0.0,0.0,AME
2018-03-14,76.15368802486473,76.21156790507459,75.31450703311768,75.43025207519531,766100,0.0,0.0,AME
2018-03-15,75.72014410774489,75.93273374538866,75.19833518962903,75.3336181640625,612400,0.14,0.0,AME
2018-03-16,75.32397779526642,76.17433662589866,75.11139545997996,76.02938842773438,1433900,0.0,0.0,AME
2018-03-19,75.72014876483397,75.8747547283943,74.5702360390562,75.24665832519531,830500,0.0,0.0,AME
2018-03-20,75.56555639033779,76.29995519498367,75.43993854932629,75.78781127929688,982700,0.0,0.0,AME
2018-03-21,75.95204639746424,76.48352041930676,75.49787902832031,75.49787902832031,998700,0.0,0.0,AME
2018-03-22,74.79248725198256,75.21765916050407,73.55561011379406,73.61358642578125,1226200,0.0,0.0,AME
2018-03-23,73.82617930634338,74.23202825280431,72.01917465562022,72.09648132324219,931600,0.0,0.0,AME
2018-03-26,73.15943068916552,74.33833170390656,72.45402753927651,74.20304870605469,924200,0.0,0.0,AME
2018-03-27,74.29000610750417,74.41563128808671,72.38637914134227,72.54098510742188,1164000,0.0,0.0,AME
2018-03-28,72.51199778691594,73.043464556141,72.00951180352263,72.4250259399414,1230500,0.0,0.0,AME
2018-03-29,72.94683477194299,73.98078752267995,72.78256362751979,73.4106674194336,852000,0.0,0.0,AME
2018-04-02,73.41067136452817,73.41067136452817,71.043204232759,72.14480590820312,841300,0.0,0.0,AME
2018-04-03,72.34771639891744,73.12076087353132,71.89354899174279,73.08210754394531,982000,0.0,0.0,AME
2018-04-04,71.93221456098742,73.33336297814166,71.40074040420751,73.12077331542969,883200,0.0,0.0,AME
2018-04-05,73.47832331660112,74.15473838057136,73.34304030380707,73.83586120605469,867500,0.0,0.0,AME
2018-04-06,72.8695586871534,73.30439594264408,70.2701782170112,71.06255340576172,1201400,0.0,0.0,AME
2018-04-09,71.72929804220185,72.33807156655283,70.76298664790899,70.89826965332031,1077300,0.0,0.0,AME
2018-04-10,72.07715661692531,72.47334779024969,71.57467798275579,72.01918029785156,969600,0.0,0.0,AME
2018-04-11,71.38140959701828,71.99984816309036,71.13983180175983,71.57466888427734,858000,0.0,0.0,AME
2018-04-12,72.61829376220703,73.18841387549557,72.23176777788483,72.61829376220703,1229500,0.0,0.0,AME
2018-04-13,73.01447538060258,73.22706503427845,72.09648264595104,72.41536712646484,679700,0.0,0.0,AME
2018-04-16,73.13043777508335,73.5749400780428,72.73424661257624,73.05313110351562,646600,0.0,0.0,AME
2018-04-17,73.35270929591488,74.03878957428647,73.13045440770104,73.80686950683594,935200,0.0,0.0,AME
2018-04-18,74.18371821666766,74.59923238713912,73.83585291737033,74.38665008544922,750300,0.0,0.0,AME
2018-04-19,74.27069728621098,74.53159812912324,73.56528669669517,73.95181274414062,641600,0.0,0.0,AME
2018-04-20,73.48796245367787,73.7488632080773,72.78255210347861,73.25604248046875,1349700,0.0,0.0,AME
